"Id товара","Дата добавления",Код,"Название товара","Краткое описание",Описание,Цена,"Каталог изображений",Категория,Подкатегория,Цвета,Размеры,Бренд,Активен,"Количество товаров",Сеокод,Просмотров
51,"20 февр. 2017 г.",MH10236,"Men's Hobe","Men's Hobes run on the larger side, please view our measurements here to ensure you select the correct size. F&D","From our original Hobes concept, we've stripped everything back, and built our new men's product from the ground up. The suede is Italian and the shoe is all hand-stitched. The sole, produced from crepe rubber, is incredibly soft to walk on, yet ready for any terrain. Offering lightness, flexibility and versatility, you'll never want to take these guys off.",159.00,1487585228,"Мужская обувь",Ботинки,brown,"42.5, 45, 48",Montana,1,153,mens-hobe,75
47,"1 нояб. 2016 г.",FANGO-S2,Fango,"Pour conserver la forme d'origine, utilisez des embauchoirs en cèdre ou en bois de hêtre. Cela absorbera l'humidité et atténuera les plis du cuir sur vos souliers.","La Fango est une desert boots très tendance, le bout de la chaussure arrondi lui donne un look ""vintage"" tout en nuances. Sa semelle crêpe et sa construction apportent, quant à elles, souplesse et légèreté. Le cuir grenu, renforce le caractère singulier de ces boots.",100.00,1487590710,"Мужская обувь",Ботинки,"black, brown","42.5, 45, 50",Zegna,1,119,fango,12
46,"26 окт. 2016 г.",WI-8117,"Brushed Twill Field Shirt","Made from smooth cotton twill, this service-inspired shirt features a band collar, dual patch pockets and shifted back shoulder panels.","Made from smooth cotton twill, this service-inspired shirt features a band collar, dual patch pockets and shifted back shoulder panels.",186.54,1477487902,"Мужская одежда",Рубашки,"black, brown","45, 48, 50",Zegna,1,28,brushed-twill-field-shirt,30
43,"26 окт. 2016 г.",HGMOK23,"Horizon Heather Gray","Where the earth meets the sky.","Shipping cost is based on weight. Just add products to your cart and use the Shipping Calculator to see the shipping price. We want you to be 100% satisfied with your Ugmonk purchase. Items can be returned or exchanged within 30 days of delivery.",28.00,1477486477,"Мужская одежда",Рубашки,white,"42.5, 45",Reebok,1,154,horizon-heather-gray,13
26,"10 авг. 2016 г.",162055M237002,"Rag & Bone","Green Standard Issue Camo Sneakers","<p>Low-top textile sneakers featuring camouflage pattern in tones of green. Nubuck leather trim in black throughout. Round toe. Lace-up closure in black. Logo flag at tongue. Logo-embossed nubuck leather heel tab in black. Rubber sole in black. Tonal stitching. Upper: textile, leather. Sole: rubber. Imported.</p>",195.00,1470294036,"Мужская обувь",Кроссовки,"black, brown","35, 42.5, 45",Montana,1,18,rag-bone,41
42,"9 авг. 2016 г.",900568,"Рубашка Kruger Schwarzgeder","Отличная рубашка на каждый день. 100% хлопок, уплотненная ткань","Отличная рубашка на каждый день. 100% хлопок, уплотненная ткань",54.72,1471427743,"Мужская одежда",Рубашки,"black, white","42.5, 45, 48",Pradella,1,23,rubashka-kruger-schwarzgeder,12
24,"23 июля 2016 г.",Bang-1,"Bang Desert boots","Les desert boots est l'un dès modèles tendance de cette année.","<p>Les desert boots est l'un dès modèles tendance de cette année. Aussi confortable que soignés, elles seront vous satisfaire par leur style passe-partout. La couture ton sur ton renforce le caractère singulier de ces boots.</p>",145.56,1469300325,"Мужская обувь",Ботинки,"black, white",45,Henley,1,0,bang-desert-boots,2
28,"7 июля 2016 г.",235687998,"Рубашка Premium Ampersand Henley","This long sleeve henley features a custom embroidered ampersand and custom woven tag","This long sleeve henley features a custom embroidered ampersand and custom woven tag. Made from 100% ringspun cotton, it's great for layering or when you're looking for something a little more subtle.",42.14,1470816128,"Мужская одежда",Рубашки,black,"35, 42.5, 45",Otto,1,21,rubashka-premium-ampersand-henley,18
21,"16 июня 2016 г.",1234d,"Octavius Shoe","Dr. Martens Octavius Shoe in New Nova Black features.","<p>Dr. Martens Octavius Shoe in New Nova Black features a semi-formal look with a thinner sole, flat welt and a pointier shape than its predecessor.</p><p>Material 100% Leather.Fit This product fits true to size.</p>",203.12,1470901859,"Мужская обувь",Ботинки,"black, brown","45, 50, 56.5","Guido Boretto",1,0,octavius-shoe,19
8,"28 мая 2016 г.",OIUj,"Кроссовки Ergonauts","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием","Беговые кроссовки выполнены из сетчатого текстиля с полимерным покрытием. Детали: усиленный мыс, текстильная подкладка и стелька; технология Powerframe обеспечивает поддержку средней части стопы; система ускоренной шнуровки для надежной посадки по ноге; промежуточная подошва ZStrike гарантирует непревзойденную амортизацию.",1632.00,,"Мужская обувь",Кроссовки,brown,"35, 42.5, 45",Gosha,1,89,krossovki-ergonauts,2
